,E,tot>50keV,tot>200keV,tot>500keV,fe,se,de,511
0,50,0.023991666666666668,0.0,0.0,0.028231666666666665,0.0,0.0,0.0
1,60,0.04314972759597221,0.0,0.0,0.035887280176091524,0.0,0.0,0.0
2,70,0.05852076954109267,0.0,0.0,0.03907391853551753,0.0,0.0,0.0
3,80,0.06898556261661312,0.0,0.0,0.04342413169027885,0.0,0.0,0.0
4,90,0.07808981115610909,0.0,0.0,0.04517950257275812,0.0,0.0,0.0
5,100,0.084659974643506,0.0,0.0,0.04575278725378713,0.0,0.0,0.0
6,110,0.09012247634608438,0.0,0.0,0.04621097958293598,0.0,0.0,0.0
7,120,0.09331805265350518,0.0,0.0,0.046047907200669154,0.0,0.0,0.0
8,130,0.09587851093546902,0.0,0.0,0.04603311723436377,0.0,0.0,0.0
9,140,0.09775626075627684,0.0,0.0,0.04587200231611793,0.0,0.0,0.0
10,150,0.10086614627393678,0.0,0.0,0.046971532210515525,0.0,0.0,0.0
11,160,0.10208136823507442,0.0,0.0,0.04657342724308485,0.0,0.0,0.0
12,170,0.10382162668349834,0.0,0.0,0.047243681366290764,0.0,0.0,0.0
13,180,0.10382047172261748,0.0,0.0,0.04682699069351967,0.0,0.0,0.0
14,190,0.10530575794964359,0.0,0.0,0.046927904929299685,0.0,0.0,0.0
15,200,0.10561176453945745,0.04740992460119739,0.0,0.046855082464002065,0.0,0.0,0.0
16,210,0.10610665626942632,0.05115630152623346,0.0,0.046867439883125,0.0,0.0,0.0
17,220,0.1059674344742811,0.054046043497658514,0.0,0.0465302022007781,0.0,0.0,0.0
18,230,0.10605321232089018,0.05651477947347155,0.0,0.046139620178410466,0.0,0.0,0.0
19,240,0.10568763305593187,0.05823417844010064,0.0,0.04586181536675053,0.0,0.0,0.0
20,250,0.10628130355443328,0.059957827450411776,0.0,0.045283816322658564,0.0,0.0,0.0
21,260,0.10643856500036883,0.06109383068184612,0.0,0.04508194201972018,0.0,0.0,0.0
22,270,0.10666678915601775,0.062435884480293,0.0,0.045244504055928635,0.0,0.0,0.0
23,280,0.10696791770971104,0.06332556865939624,0.0,0.044981717167556785,0.0,0.0,0.0
24,290,0.1067654385535613,0.06388964460663245,0.0,0.04456589968492903,0.0,0.0,0.0
25,300,0.10634924480815068,0.06408303324540177,0.0,0.04404402433816604,0.0,0.0,0.0
26,310,0.10721118447258199,0.06465834610788562,0.0,0.04389718396562338,0.0,0.0,0.0
27,320,0.10653782146781901,0.06463256418081423,0.0,0.04363558737264936,0.0,0.0,0.0
28,330,0.10646714748990796,0.06472989267605844,0.0,0.04310632784356019,0.0,0.0,0.0
29,340,0.10565356258022149,0.06456374436583982,0.0,0.04261962329482702,0.0,0.0,0.0
30,350,0.10651156842158487,0.06528819185228588,0.0,0.042612360469577684,0.0,0.0,0.0
