Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511,cntRest,cntRestNoThres,nEvents,nCounts
50,7.234175745384627,0.367544,12867.1,0.0,0.0,0.0,8344.94,7451.0,600000.0,21212
60,6.200476247167735,0.523807,17675.6,0.0,0.0,0.0,12676.4,12331.5,602414.0,30352
70,5.459681035723002,0.668113,12706.3,0.0,0.0,0.0,26162.7,17723.5,604828.0,38869
80,4.902116656855087,0.767015,21587.0,0.0,0.0,0.0,23214.0,21544.8,607243.0,44801
90,4.466836599732189,0.847451,25076.2,0.0,0.0,0.0,24619.8,24805.5,609657.0,49696
100,4.117260095684692,0.910248,26039.5,0.0,0.0,0.0,27550.5,27460.5,612072.0,53590
110,3.830098465443466,0.967461,24438.9,0.0,0.0,0.0,32744.1,29859.8,614486.0,57183
120,3.5898180198114296,0.998896,27157.7,0.0,0.0,0.0,32115.3,31643.0,616901.0,59273
130,3.3856583449246314,1.02414,3926.16,0.0,0.0,0.0,57082.8,32909.0,619315.0,61009
140,3.2099283168740764,1.04528,9273.81,0.0,0.0,0.0,53237.2,34188.5,621730.0,62511
150,3.056983598707016,1.07617,26432.2,0.0,0.0,0.0,38175.8,35364.5,624144.0,64608
160,2.922587490806641,1.08669,28637.7,0.0,0.0,0.0,36854.3,36259.8,626559.0,65492
170,2.803497297735631,1.10415,29486.2,0.0,0.0,0.0,37314.8,37092.2,628973.0,66801
180,2.6971885215505402,1.10457,29579.2,0.0,0.0,0.0,37503.8,37405.2,631388.0,67083
190,2.6016661116413204,1.12087,27852.2,0.0,0.0,0.0,40480.8,38518.8,633802.0,68333
200,2.5153323076126646,1.12418,29263.7,0.0,0.0,0.0,39532.3,38897.8,636217.0,68796
210,2.4368922157300466,1.1312,29786.7,0.0,0.0,0.0,39701.3,39463.5,638631.0,69488
220,2.36528511659372,1.12986,27290.3,0.0,0.0,0.0,42377.7,39815.2,641046.0,69668
230,2.299633675782667,1.13027,28316.9,0.0,0.0,0.0,41639.1,40186.0,643460.0,69956
240,2.2392058381335884,1.12698,29219.5,0.0,0.0,0.0,40794.5,40377.0,645875.0,70014
250,2.183385856123583,1.13569,26219.2,0.0,0.0,0.0,44599.8,41269.0,648289.0,70819
260,2.13165199468979,1.13557,1644.3,0.0,0.0,0.0,69430.7,41625.5,650704.0,71075
270,2.083559182782333,1.13824,29460.6,0.0,0.0,0.0,42046.4,41878.2,653118.0,71507
280,2.0387253759626804,1.14247,13532.7,0.0,0.0,0.0,58505.3,42485.0,655533.0,72038
290,1.996820735091656,1.14018,17222.3,0.0,0.0,0.0,54935.7,42848.8,657947.0,72158
300,1.9575589646883993,1.13717,20011.9,0.0,0.0,0.0,52220.1,43080.5,660362.0,72232
310,1.920690323845133,1.14586,21687.9,0.0,0.0,0.0,51362.1,43913.0,662776.0,73050
320,1.885995944284716,1.13944,27948.5,0.0,0.0,0.0,44956.5,43875.5,665191.0,72905
330,1.8532831786705846,1.13885,28184.5,0.0,0.0,0.0,44947.5,44305.5,667605.0,73132
340,1.8223817673784017,1.13097,28296.2,0.0,0.0,0.0,44592.8,44284.5,670020.0,72889
350,1.7931406603062303,1.13921,16489.4,0.0,0.0,0.0,57194.6,44998.0,672434.0,73684
360,1.7654253665817856,1.12992,28372.1,0.0,0.0,0.0,44973.9,44866.8,674849.0,73346
370,1.7391157324868203,1.12961,21200.2,0.0,0.0,0.0,52387.8,45337.0,677263.0,73588
380,1.714104068880178,1.13509,26207.2,0.0,0.0,0.0,48001.8,46019.2,679678.0,74209
390,1.6902935655285918,1.13124,26969.6,0.0,0.0,0.0,47250.4,46193.2,682092.0,74220
400,1.667596942255882,1.12531,27141.0,0.0,0.0,0.0,46951.0,46415.2,684507.0,74092
410,1.6459352965807479,1.12409,15337.0,0.0,0.0,0.0,58936.0,46501.5,686921.0,74273
420,1.625237115183426,1.121,27319.8,0.0,0.0,0.0,47009.2,46782.8,689336.0,74329
430,1.6054374226077277,1.12983,20144.7,0.0,0.0,0.0,55032.3,47465.8,691750.0,75177
440,1.5864770454316677,1.12011,24731.7,0.0,0.0,0.0,50058.3,47164.2,694164.0,74790
450,1.5683019740023145,1.11652,25542.4,0.0,0.0,0.0,49267.6,47324.0,696579.0,74810
460,1.5508628069381218,1.12643,26513.7,0.0,0.0,0.0,49221.3,48133.5,698993.0,75735
470,1.5341142661153075,1.12696,13686.2,0.0,0.0,0.0,62346.8,48278.0,701408.0,76033
480,1.5180147718975336,1.11793,26754.5,0.0,0.0,0.0,48928.5,48530.5,703822.0,75683
490,1.5025260700361753,1.10747,18242.5,0.0,0.0,0.0,56989.5,48388.0,706237.0,75232
500,1.4876129030367333,1.10899,20375.9,0.0,0.0,0.0,55217.1,48571.8,708651.0,75593
510,1.4732427199141054,1.11214,24128.2,0.0,0.0,0.0,51937.8,49047.2,711066.0,76066
520,1.4593854191918638,1.11374,3722.7,0.0,0.0,0.0,72711.3,49400.5,713480.0,76434
530,1.446013120775065,1.11251,26513.8,0.0,0.0,0.0,50094.2,49830.2,715895.0,76608
540,1.4330999629716392,1.10999,26869.9,0.0,0.0,0.0,49822.1,49597.8,718309.0,76692
550,1.4206219214775653,1.10537,26617.8,0.0,0.0,0.0,50012.2,49818.2,720724.0,76630
560,1.4085566475945124,1.09868,14927.3,0.0,0.0,0.0,61493.7,49710.0,723138.0,76421
570,1.3968833233306748,1.10079,17110.0,0.0,0.0,0.0,59714.0,50314.5,725553.0,76824
580,1.3855825313584453,1.09813,19076.6,0.0,0.0,0.0,57816.4,50443.0,727967.0,76893
590,1.3746361380763128,1.10032,26367.7,0.0,0.0,0.0,50934.3,50765.0,730382.0,77302
600,1.3640271882551658,1.09912,22231.2,0.0,0.0,0.0,55241.8,50877.0,732796.0,77473
610,1.353739809947745,1.09486,24041.1,0.0,0.0,0.0,53385.9,50919.2,735211.0,77427
620,1.3437591285097474,1.09942,24548.9,0.0,0.0,0.0,53456.1,51611.5,737625.0,78005
630,1.3340711887267243,1.08343,24649.8,0.0,0.0,0.0,52472.2,51082.5,740040.0,77122
